ANO,UF,PIB_nominal
2008,MS,36219
2008,PA,60957
2008,PB,26890
2008,PE,70414
2008,PI,16203
2008,PR,185684
2008,RJ,378286
2008,RN,28899
2008,RO,17286
2008,RR,4842
2008,RS,190230
2008,SC,121477
2008,SE,21418
2008,SP,1042510
2009,AC,7408
2009,AL,24182
2009,AM,50560
2009,BA,137942
2009,CE,67200
2009,DF,124324
2009,ES,69215
2009,GO,92866
2009,MG,287444
2009,MS,39518
2009,PA,61665
2009,PB,30230
2009,PE,79761
2009,PI,18946
2009,PR,196676
2009,RJ,391651
2009,RN,30941
2009,RO,19725
2009,RR,5672
2009,RS,204345
2009,SC,129099
2009,SE,21707
2009,SP,1127094
2010,AC,8342
2010,AL,27133
2010,AM,60877
2010,BA,154420
2010,CE,79336
2010,DF,144174
2010,ES,85310
2010,GO,106770
2010,MG,351123
2010,MS,47271
2010,PA,82685
2010,PB,33522
2010,PE,97190
2010,PI,22269
2010,PR,225205
2010,RJ,449858
2010,RN,36185
2010,RO,23908
2010,RR,6639
2010,RS,241249
2010,SC,153726
2010,SE,26405
2010,SP,1294696
