ano,sigla_uf,populacao
2002,SE,1846039
2002,SP,38177742
2002,TO,1207014
2003,AC,600595
2003,AL,2917664
2003,AM,3031068
2003,AP,534835
2003,BA,13435612
2003,CE,7758441
2003,DF,2189789
2003,ES,3250219
2003,GO,5306459
2003,MA,5873655
2003,MG,18553312
2003,MS,2169688
2003,MT,2651335
2003,PA,6574993
2003,PB,3518595
2003,PE,8161862
2003,PI,2923725
2003,PR,9906866
2003,RJ,14879118
2003,RN,2888058
2003,RO,1455907
2003,RR,357302
2003,RS,10510992
2003,SC,5607233
2003,SE,1874613
2003,SP,38709320
2003,TO,1230181
2004,AC,630328
2004,AL,2980910
2004,AM,3138726
2004,AP,547400
2004,BA,13682074
2004,CE,7976563
2004,DF,2282049
2004,ES,3352024
2004,GO,5508245
2004,MA,6021504
2004,MG,18993720
2004,MS,2230702
2004,MT,2749145
2004,PA,6850181
2004,PB,3568350
2004,PE,8323911
2004,PI,2977259
2004,PR,10135388
2004,RJ,15203750
2004,RN,2962107
2004,RO,1562085
2004,RR,381896
2004,RS,10726063
2004,SC,5774178
2004,SE,1934596
2004,SP,39825226
2004,TO,1262644
2005,AC,669736
2005,AL,3015912
2005,AM,3232330
2005,AP,594587
2005,BA,13815334
2005,CE,8097276
2005,DF,2333108
2005,ES,3408365
2005,GO,5619917
2005,MA,6103327
2005,MG,19237450
2005,MS,2264468
2005,MT,2803274
2005,PA,6970586
2005,PB,3595886
2005,PE,8413593
2005,PI,3006885
2005,PR,10261856
2005,RJ,15383407
2005,RN,3003087
2005,RO,1534594
2005,RR,391317
2005,RS,10845087
2005,SC,5866568
2005,SE,1967791
2005,SP,40442795
2005,TO,1305728
2006,AC,686652
2006,AL,3050652
2006,AM,3311026
2006,AP,615715
2006,BA,13950146
2006,CE,8217085
2006,DF,2383784
2006,ES,3464285
2006,GO,5730753
2006,MA,6184538
2006,MG,19479356
2006,MS,2297981
2006,MT,2856999
2006,PA,7110465
2006,PB,3623215
2006,PE,8502603
2006,PI,3036290
2006,PR,10387378
2006,RJ,15561720
2006,RN,3043760
2006,RO,1562417
2006,RR,403344
2006,RS,10963219
2006,SC,5958266
2006,SE,2000738
2006,SP,41055734
2006,TO,1332441
2007,AC,655385
2007,AL,3037231
2007,AM,3221940
2007,AP,587311
2007,BA,14080670
2007,CE,8185250
2007,DF,2455903
2007,ES,3351669
2007,GO,5647035
2007,MA,6118995
2007,MG,19273533
2007,MS,2265813
2007,MT,2854642
2007,PA,7090378
2007,PB,3641397
2007,PE,8486638
2007,PI,3032435
2007,PR,10284503
2007,RJ,15420450
2007,RN,3013740
2007,RO,1453756
2007,RR,395725
2007,RS,10582887
2007,SC,5866487
2007,SE,1939426
2007,SP,39827690
2007,TO,1243627
2008,AC,680073
2008,AL,3127557
2008,AM,3341096
2008,AP,613164
2008,BA,14502575
2008,CE,8450527
2008,DF,2557158
2008,ES,3453648
2008,GO,5844996
2008,MA,6305539
2008,MG,19850072
2008,MS,2336058
2008,MT,2957732
2008,PA,7321493
2008,PB,3742606
2008,PE,8734194
2008,PI,3119697
2008,PR,10590169
2008,RJ,15872362
2008,RN,3106430
2008,RO,1493566
2008,RR,412783
2008,RS,10855214
2008,SC,6052587
2008,SE,1999374
2008,SP,41011635
2008,TO,1280509
2009,AC,691132
2009,AL,3156108
2009,AM,3393369
2009,AP,626609
2009,BA,14637364
2009,CE,8547809
2009,DF,2606885
2009,ES,3487199
2009,GO,5926300
2009,MA,6367138
2009,MG,20033665
2009,MS,2360498
2009,MT,3001692
2009,PA,7397238
2009,PB,3769977
2009,PE,8810256
2009,PI,3145325
2009,PR,10686247
2009,RJ,16010429
2009,RN,3137541
2009,RO,1503928
2009,RR,421499
2009,RS,10914128
2009,SC,6118743
2009,SE,2019679
2009,SP,41384039
2009,TO,1292051
2010,AC,733559
2010,AL,3120494
2010,AM,3483985
2010,AP,669526
2010,BA,14016906
2010,CE,8452381
2010,DF,2570160
2010,ES,3514952
2010,GO,6003788
2010,MA,6574789
2010,MG,19597330
2010,MS,2449024
2010,MT,3035122
2010,PA,7581051
2010,PB,3766528
2010,PE,8796448
2010,PI,3118360
2010,PR,10444526
2010,RJ,15989929
2010,RN,3168027
2010,RO,1562409
2010,RR,450479
2010,RS,10693929
2010,SC,6248436
2010,SE,2068017
2010,SP,41262199
2010,TO,1383445
2011,AC,746386
2011,AL,3143384
2011,AM,3538387
2011,AP,684309
2011,BA,14097534
2011,CE,8530155
2011,DF,2609998
2011,ES,3547055
2011,GO,6080716
2011,MA,6645761
2011,MG,19728701
2011,MS,2477542
2011,MT,3075936
2011,PA,7688593
2011,PB,3791315
2011,PE,8864906
2011,PI,3140328
2011,PR,10512349
2011,RJ,16112678
