ANO,UF,PIB_nominal
2004-12-31,GO,51104
2004-12-31,MG,171871
2004-12-31,MS,23372
2004-12-31,PA,37273
2004-12-31,PB,15758
2004-12-31,PE,44983
2004-12-31,PI,9406
2004-12-31,PR,123452
2004-12-31,RJ,241207
2004-12-31,RN,17252
2004-12-31,RO,11005
2004-12-31,RR,2823
2004-12-31,RS,131192
2004-12-31,SC,73619
2004-12-31,SE,13336
2004-12-31,SP,652956
2005-12-31,AC,4301
2005-12-31,AL,15485
2005-12-31,AM,33981
2005-12-31,BA,88292
2005-12-31,CE,41059
2005-12-31,DF,75733
2005-12-31,ES,47021
2005-12-31,GO,53865
2005-12-31,MG,188364
2005-12-31,MS,23725
2005-12-31,PA,40523
2005-12-31,PB,17557
2005-12-31,PE,50240
2005-12-31,PI,10712
2005-12-31,PR,127465
2005-12-31,RJ,269830
2005-12-31,RN,19967
2005-12-31,RO,12512
2005-12-31,RR,3193
2005-12-31,RS,136363
2005-12-31,SC,81549
2005-12-31,SE,14430
2005-12-31,SP,743043
2006-12-31,AC,4662
2006-12-31,AL,17396
2006-12-31,AM,39933
2006-12-31,BA,95348
2006-12-31,CE,46500
2006-12-31,DF,84661
2006-12-31,ES,53464
2006-12-31,GO,61375
2006-12-31,MG,212660
2006-12-31,MS,26668
2006-12-31,PA,45983
2006-12-31,PB,20838
2006-12-31,PE,55485
2006-12-31,PI,13360
2006-12-31,PR,137648
2006-12-31,RJ,299738
2006-12-31,RN,22890
2006-12-31,RO,13055
2006-12-31,RR,3802
2006-12-31,RS,147623
2006-12-31,SC,91063
2006-12-31,SE,16420
2006-12-31,SP,824529
2007-12-31,AC,5458
2007-12-31,AL,19871
2007-12-31,AM,43480
2007-12-31,BA,109330
2007-12-31,CE,50819
2007-12-31,DF,93404
2007-12-31,ES,60658
2007-12-31,GO,71411
2007-12-31,MG,240355
2007-12-31,MS,30085
2007-12-31,PA,51847
2007-12-31,PB,22910
2007-12-31,PE,62459
2007-12-31,PI,13736
2007-12-31,PR,165209
2007-12-31,RJ,323698
2007-12-31,RN,26318
2007-12-31,RO,14438
2007-12-31,RR,4203
2007-12-31,RS,168010
2007-12-31,SC,103728
2007-12-31,SE,18218
2007-12-31,SP,935653
2008-12-31,AC,6410
2008-12-31,AL,22262
2008-12-31,AM,48115
2008-12-31,BA,121667
2008-12-31,CE,60416
2008-12-31,DF,110300
2008-12-31,ES,72091
2008-12-31,GO,82418
2008-12-31,MG,278608
2008-12-31,MS,36219
2008-12-31,PA,60957
2008-12-31,PB,26890
2008-12-31,PE,70414
2008-12-31,PI,16203
2008-12-31,PR,185684
2008-12-31,RJ,378286
2008-12-31,RN,28899
2008-12-31,RO,17286
2008-12-31,RR,4842
2008-12-31,RS,190230
2008-12-31,SC,121477
2008-12-31,SE,21418
2008-12-31,SP,1042510
2009-12-31,AC,7408
2009-12-31,AL,24182
2009-12-31,AM,50560
2009-12-31,BA,137942
2009-12-31,CE,67200
2009-12-31,DF,124324
2009-12-31,ES,69215
2009-12-31,GO,92866
2009-12-31,MG,287444
2009-12-31,MS,39518
2009-12-31,PA,61665
2009-12-31,PB,30230
2009-12-31,PE,79761
2009-12-31,PI,18946
2009-12-31,PR,196676
2009-12-31,RJ,391651
2009-12-31,RN,30941
2009-12-31,RO,19725
2009-12-31,RR,5672
2009-12-31,RS,204345
2009-12-31,SC,129099
2009-12-31,SE,21707
2009-12-31,SP,1127094
2010-12-31,AC,8342
2010-12-31,AL,27133
2010-12-31,AM,60877
2010-12-31,BA,154420
2010-12-31,CE,79336
2010-12-31,DF,144174
2010-12-31,ES,85310
2010-12-31,GO,106770
2010-12-31,MG,351123
2010-12-31,MS,47271
2010-12-31,PA,82685
2010-12-31,PB,33522
2010-12-31,PE,97190
2010-12-31,PI,22269
2010-12-31,PR,225205
2010-12-31,RJ,449858
2010-12-31,RN,36185
2010-12-31,RO,23908
2010-12-31,RR,6639
2010-12-31,RS,241249
2010-12-31,SC,153726
2010-12-31,SE,26405
2010-12-31,SP,1294696
